epoch,loss,lr,val_loss
0,2.1028411388397217,1e-04,2.312384605407715
1,1.5788813829421997,1e-04,2.2679929733276367
2,1.41159987449646,1e-04,2.2158315181732178
3,1.2900402545928955,1e-04,2.920464038848877
4,1.2072532176971436,1e-04,2.174663782119751
5,1.1139936447143555,1e-04,1.8108760118484497
6,1.0565448999404907,1e-04,1.704037070274353
7,0.9892470836639404,1e-04,1.480286717414856
8,0.966135561466217,1e-04,1.3484845161437988
9,0.9002448320388794,1e-04,1.281769037246704
10,0.8673291206359863,1e-04,1.137753963470459
11,0.8079670071601868,1e-04,1.1296977996826172
12,0.7576667666435242,1e-04,1.1958726644515991
13,0.717178463935852,1e-04,1.1445845365524292
14,0.6807546019554138,1e-04,1.2615071535110474
15,0.645476758480072,1e-04,1.306325078010559
16,0.5932705402374268,1e-04,1.1796154975891113
17,0.5038716793060303,1e-05,1.031779408454895
18,0.47156909108161926,1e-05,1.0317351818084717
19,0.45019274950027466,1e-05,1.036868691444397
20,0.44152235984802246,1e-05,1.0526652336120605
21,0.4317927062511444,1e-05,1.03957998752594
22,0.42699891328811646,1e-05,1.0410335063934326
23,0.40806955099105835,1e-06,1.0361868143081665
24,0.4075247049331665,1e-06,1.033205270767212
25,0.4062519371509552,1e-06,1.033345103263855
26,0.40795251727104187,1e-06,1.0346081256866455
27,0.4067843556404114,1e-06,1.0365781784057617
28,0.4094945788383484,1e-07,1.0365656614303589
29,0.39730286598205566,1e-07,1.0359978675842285
30,0.403333455324173,1e-07,1.0362612009048462
31,0.403137743473053,1e-07,1.0366730690002441
32,0.39805543422698975,1e-07,1.0366320610046387
33,0.40270406007766724,1e-07,1.036404013633728
0,2.1356546878814697,1e-04,2.3191630840301514
0,2.1213529109954834,1e-04,2.297297954559326
1,1.5988601446151733,1e-04,2.4054107666015625
2,1.4019944667816162,1e-04,2.3501853942871094
3,1.2848477363586426,1e-04,2.4782238006591797
4,1.18575918674469,1e-04,2.111840009689331
5,1.1141785383224487,1e-04,1.8817768096923828
6,1.0565361976623535,1e-04,1.7245423793792725
7,0.9884561896324158,1e-04,1.699339509010315
8,0.9589579701423645,1e-04,1.2925777435302734
9,0.889003574848175,1e-04,1.4501430988311768
10,0.8437522053718567,1e-04,1.1409237384796143
11,0.8032450079917908,1e-04,1.1669845581054688
12,0.7479395866394043,1e-04,1.1799558401107788
13,0.6988096237182617,1e-04,1.1262388229370117
14,0.6616241931915283,1e-04,1.423761010169983
